,movie_title,movie_year,genre,average_rating,num_votes,is_adult,imdb_tconst,imdb_link
18566,Miss Frontier Mail,1936,Drama,6.8,25.0,0,tt0271640,https://www.imdb.com/title/tt0271640/
18567,Miss Futuro,2021,"Comedy,Fantasy",4.7,21.0,0,tt14605448,https://www.imdb.com/title/tt14605448/
18568,Miss Granny,2018,"Comedy,Fantasy,Music",7.1,1819.0,0,tt8368032,https://www.imdb.com/title/tt8368032/
18569,Miss in Her Teens,2014,Comedy,7.3,462.0,0,tt1942920,https://www.imdb.com/title/tt1942920/
18570,Miss Julie,2014,"Drama,Romance",4.3,161.0,0,tt2298738,https://www.imdb.com/title/tt2298738/
18571,Miss Juneteenth,2020,Drama,6.5,1897.0,0,tt11394158,https://www.imdb.com/title/tt11394158/
18572,Miss Leslie's Dolls,1973,"Crime,Drama,Horror",5.2,200.0,0,tt0230532,https://www.imdb.com/title/tt0230532/
18573,Miss Lovely,2012,"Crime,Drama,Romance",7.7,12662.0,0,tt1629715,https://www.imdb.com/title/tt1629715/
18574,Miss March,2009,"Comedy,Romance",5.0,21724.0,0,tt1151922,https://www.imdb.com/title/tt1151922/
18575,Miss Me This Christmas,2017,"Comedy,Romance",4.4,518.0,0,tt7281126,https://www.imdb.com/title/tt7281126/
18576,Miss Meadows,2014,"Comedy,Crime,Drama",5.8,8978.0,0,tt3128900,https://www.imdb.com/title/tt3128900/
18577,Miss Muerte (The Diabolical Dr. Z),1966,,,,,,
18578,Miss Nobody,2010,"Comedy,Crime",5.4,2113.0,0,tt1129427,https://www.imdb.com/title/tt1129427/
18579,Miss Osaka,2021,Drama,5.7,167.0,0,tt9437152,https://www.imdb.com/title/tt9437152/
18580,Miss Peregrine's Home for Peculiar Children,2016,"Adventure,Drama,Family",6.7,177204.0,0,tt1935859,https://www.imdb.com/title/tt1935859/
18581,Miss Pettigrew Lives for a Day,2008,"Comedy,Romance",7.0,28825.0,0,tt0970468,https://www.imdb.com/title/tt0970468/
18582,Miss Potter,2006,"Biography,Drama,Romance",7.0,30595.0,0,tt0482546,https://www.imdb.com/title/tt0482546/
18583,Miss Representation,2011,Documentary,7.5,3810.0,0,tt1784538,https://www.imdb.com/title/tt1784538/
18584,Miss Sadie Thompson,1953,"Drama,Musical,Romance",5.9,1608.0,0,tt0046076,https://www.imdb.com/title/tt0046076/
18585,Miss Saigon 25th Anniversary Performance,2016,,,,,,
18586,Miss Sixty,2014,"Comedy,Romance",5.4,258.0,0,tt3478536,https://www.imdb.com/title/tt3478536/
18587,Miss Sloane,2016,Drama,7.5,76980.0,0,tt4540710,https://www.imdb.com/title/tt4540710/
18588,Miss Stevens,2016,"Comedy,Drama",6.6,7347.0,0,tt2693580,https://www.imdb.com/title/tt2693580/
18589,Miss Tanakpur Hazir Ho,2015,,,,,,
18590,Miss Violence,2013,Drama,7.1,8835.0,0,tt3078242,https://www.imdb.com/title/tt3078242/
18591,Miss You Already,2015,"Comedy,Drama,Romance",6.8,19228.0,0,tt2245003,https://www.imdb.com/title/tt2245003/
18592,Miss You Like Crazy,2010,"Drama,Romance",5.8,176.0,0,tt1611914,https://www.imdb.com/title/tt1611914/
18593,Miss Zombie,2013,Horror,6.3,648.0,0,tt2542616,https://www.imdb.com/title/tt2542616/
18594,Missamma,2003,Drama,7.0,163.0,0,tt0360797,https://www.imdb.com/title/tt0360797/
18595,Missbehavior,2019,Comedy,5.4,250.0,0,tt9638206,https://www.imdb.com/title/tt9638206/
18596,Missed Connections,2015,"Comedy,Family,Romance",5.1,129.0,0,tt2427224,https://www.imdb.com/title/tt2427224/
18597,Misseu Go (Miss Conspirator),2012,,,,,,
18598,Missile to the Moon,1958,"Drama,Sci-Fi",4.0,1356.0,0,tt0053072,https://www.imdb.com/title/tt0053072/
18599,"Missing, 2009",2009,"Drama,Fantasy,Horror",4.8,525.0,0,tt0896815,https://www.imdb.com/title/tt0896815/
18600,"Missing, 1982",1982,"Biography,Drama,History",7.7,21965.0,0,tt0084335,https://www.imdb.com/title/tt0084335/
18601,"Missing, 2022",2022,"Drama,Thriller",7.4,3302.0,0,tt10855768,https://www.imdb.com/title/tt10855768/
18602,Missing 411: The Hunted,2019,Documentary,7.0,2073.0,0,tt10524262,https://www.imdb.com/title/tt10524262/
18603,Missing and Alone,2021,Thriller,4.9,121.0,0,tt16352374,https://www.imdb.com/title/tt16352374/
18604,Missing in Action,1984,"Action,Adventure,Drama",5.4,15466.0,0,tt0087727,https://www.imdb.com/title/tt0087727/
18605,Missing in America,2005,"Drama,War",6.5,1594.0,0,tt0384699,https://www.imdb.com/title/tt0384699/
