,movie_title,movie_year,genre,average_rating,num_votes,is_adult,imdb_tconst,imdb_link,tmdbId
11744,Greyson Family Christmas,2021,"Comedy,Drama,Family",6.0,124.0,0.0,11383142,https://www.imdb.com/title/tt11383142/,0
11745,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,"Adventure,Drama",6.4,20433.0,0.0,87365,https://www.imdb.com/title/tt0087365/,11002
11746,Gridiron Gang,2006,"Biography,Crime,Drama",7.1,78086.0,0.0,421206,https://www.imdb.com/title/tt0421206/,9766
11747,Gridlock'd,1997,"Comedy,Crime,Drama",6.9,15966.0,0.0,119225,https://www.imdb.com/title/tt0119225/,12489
11748,Gridlocked,2015,Action,5.8,4736.0,0.0,2724532,https://www.imdb.com/title/tt2724532/,356334
11749,Grief,2017,"Drama,Thriller",6.5,54.0,0.0,5421078,https://www.imdb.com/title/tt5421078/,0
11750,Griff the Invisible,2010,"Comedy,Drama,Romance",6.0,4947.0,0.0,1509803,https://www.imdb.com/title/tt1509803/,66942
11751,The Grifters,1990,"Crime,Drama,Thriller",6.9,28737.0,0.0,99703,https://www.imdb.com/title/tt0099703/,18129
11752,Grigris,2013,Drama,6.3,578.0,0.0,2852394,https://www.imdb.com/title/tt2852394/,186970
11753,Grilled,2006,"Comedy,Crime",5.2,5639.0,0.0,409043,https://www.imdb.com/title/tt0409043/,0
11754,Grim Reaper,2007,Horror,2.4,749.0,0.0,903622,https://www.imdb.com/title/tt0903622/,34784
11755,Grim Woods,2019,,,,,0,,0
11756,Grimcutty,2022,"Drama,Horror,Mystery",4.3,5930.0,0.0,17196124,https://www.imdb.com/title/tt17196124/,0
11757,Grimm,2003,"Adventure,Comedy,Drama",6.3,1939.0,0.0,365289,https://www.imdb.com/title/tt0365289/,50387
11758,Grimm's Snow White,2012,"Adventure,Fantasy",3.4,1164.0,0.0,2081255,https://www.imdb.com/title/tt2081255/,92645
11759,Grindhouse,2007,"Action,Horror,Thriller",7.5,186252.0,0.0,462322,https://www.imdb.com/title/tt0462322/,253768
11760,Gringo,2018,"Action,Comedy,Crime",6.1,30890.0,0.0,3721964,https://www.imdb.com/title/tt3721964/,340022
11761,Gringo: The Dangerous Life of John McAfee,2016,"Crime,Documentary",6.7,3525.0,0.0,6071534,https://www.imdb.com/title/tt6071534/,413834
11762,Grizzly,1976,"Adventure,Horror,Thriller",5.2,5302.0,0.0,74593,https://www.imdb.com/title/tt0074593/,55784
11763,Grizzly Man,2005,"Biography,Documentary",7.8,58424.0,0.0,427312,https://www.imdb.com/title/tt0427312/,501
11764,Grizzly Park,2008,"Adventure,Comedy,Horror",4.0,2452.0,0.0,915460,https://www.imdb.com/title/tt0915460/,0
11765,Grizzly Rage,2007,"Action,Adventure,Horror",2.6,1654.0,0.0,896816,https://www.imdb.com/title/tt0896816/,30641
11766,Gromozeka,2011,Drama,6.5,223.0,0.0,1273803,https://www.imdb.com/title/tt1273803/,0
11767,Grosse Pointe Blank,1997,"Action,Comedy,Crime",7.3,95984.0,0.0,119229,https://www.imdb.com/title/tt0119229/,9434
11768,Ground Control,1998,"Action,Adventure,Drama",5.7,2571.0,0.0,137799,https://www.imdb.com/title/tt0137799/,54940
11769,Groundhog Dave,2019,Animation,6.4,73.0,0.0,9251614,https://www.imdb.com/title/tt9251614/,0
11770,Groundhog Day,1993,"Comedy,Drama,Fantasy",8.1,639862.0,0.0,107048,https://www.imdb.com/title/tt0107048/,137
11771,Groundswell,2022,Documentary,,,0.0,14195662,https://www.imdb.com/title/tt14195662/,0
11772,Group Sex,2010,Comedy,5.0,2923.0,0.0,1193096,https://www.imdb.com/title/tt1193096/,44221
11773,Group Text from Hell,2017,"Comedy,Short",,,0.0,7365364,https://www.imdb.com/title/tt7365364/,0
11774,Groupers,2019,"Comedy,Drama",5.2,1056.0,0.0,5891260,https://www.imdb.com/title/tt5891260/,0
11775,Groupies,2018,Thriller,4.4,45.0,0.0,3813404,https://www.imdb.com/title/tt3813404/,0
11776,Grow House,2017,Comedy,4.7,442.0,0.0,4274656,https://www.imdb.com/title/tt4274656/,0
11777,Growing Op,2008,"Comedy,Drama",6.1,1545.0,0.0,1105730,https://www.imdb.com/title/tt1105730/,15285
11778,Growing the Big One,2010,Romance,6.3,770.0,0.0,1526745,https://www.imdb.com/title/tt1526745/,0
11779,Growing Up and Other Lies,2014,Comedy,4.7,794.0,0.0,2399406,https://www.imdb.com/title/tt2399406/,298751
11780,Grown Ups,2010,Comedy,5.9,256457.0,0.0,1375670,https://www.imdb.com/title/tt1375670/,38365
11781,Grown Ups 2,2013,Comedy,5.3,157825.0,0.0,2191701,https://www.imdb.com/title/tt2191701/,109418
11782,Growth,2009,"Horror,Sci-Fi",4.4,3545.0,0.0,1300159,https://www.imdb.com/title/tt1300159/,31196
11783,The Grudge 2,2006,"Horror,Thriller",5.0,50110.0,0.0,433386,https://www.imdb.com/title/tt0433386/,1975
11784,The Grudge 3,2009,"Horror,Mystery,Thriller",4.6,18959.0,0.0,1053859,https://www.imdb.com/title/tt1053859/,1977
11785,Grudge Match,2013,"Comedy,Drama,Sport",6.4,61294.0,0.0,1661382,https://www.imdb.com/title/tt1661382/,64807
11786,"The Grudge, 2004",2004,"Horror,Mystery,Thriller",5.9,146669.0,0.0,391198,https://www.imdb.com/title/tt0391198/,1970
11787,Grumpier Old Men,1995,"Comedy,Romance",6.6,28383.0,0.0,113228,https://www.imdb.com/title/tt0113228/,15602
11788,Grumpy Old Men,1993,"Comedy,Drama,Romance",7.0,50802.0,0.0,107050,https://www.imdb.com/title/tt0107050/,11520
11789,Grupo 7 (Unit 7),2012,,,,,0,,0
11790,Gruz 200 (Cargo 200),2007,,,,,0,,0
11791,GTA.IV.The.Trashmaster,2010,,,,,0,,0
11792,Guadalcanal Diary,1943,"Drama,War",6.6,2201.0,0.0,35957,https://www.imdb.com/title/tt0035957/,43510
