,source,target,weight
22478,1920.0,3464.0,8
22525,12496.0,2092.0,8
22545,3116.0,3464.0,8
22567,6378.0,1814.0,8
22579,12446.0,25318.0,8
22605,12436.0,4785.0,8
22704,5017.0,3534.0,8
22868,1777.0,18896.0,8
22901,2867.0,7780.0,8
23066,5779.0,2118.0,8
23147,11230.0,7276.0,8
23178,3116.0,4785.0,8
23333,1015.0,349.0,8
23415,18997.0,1698.0,8
23416,14561.0,1777.0,8
23445,19856.0,2077.0,8
23496,11235.0,1352.0,8
23526,11235.0,1444.0,8
23622,8118.0,1015.0,8
23663,5305.0,7780.0,8
23733,10461.0,6997.0,8
23964,2805.0,21998.0,8
23986,4154.0,25366.0,8
24058,10386.0,11147.0,8
24258,5017.0,12985.0,8
24542,6090.0,14843.0,8
24642,2426.0,69.0,8
24713,9469.0,1116.0,8
24782,5315.0,5574.0,8
24784,4763.0,17800.0,8
24986,4763.0,18674.0,8
25077,22968.0,4763.0,8
25254,12237.0,5823.0,8
25305,6366.0,12484.0,8
25434,881.0,16301.0,8
25556,17186.0,1322.0,8
25596,17190.0,6535.0,8
25973,1777.0,13236.0,8
26054,5315.0,6447.0,8
26201,4862.0,2005.0,8
26340,4219.0,12733.0,8
26654,3070.0,4341.0,8
26663,3375.0,5967.0,8
26687,18686.0,3788.0,8
26848,2481.0,18944.0,8
26896,1384.0,16903.0,8
26993,6148.0,19103.0,8
27113,14267.0,22186.0,8
27161,10353.0,5920.0,8
27218,4763.0,11057.0,8
27325,11475.0,4444.0,8
27679,1920.0,8600.0,7
27691,14267.0,7102.0,7
27718,7826.0,4000.0,7
27866,10353.0,7903.0,7
27956,4444.0,5961.0,7
27975,536.0,4308.0,7
28175,4414.0,1698.0,7
28228,15581.0,6366.0,7
28241,23676.0,1814.0,7
28264,10836.0,4763.0,7
28369,3044.0,15302.0,7
28865,8995.0,3070.0,7
28889,9924.0,14097.0,7
28966,10685.0,2264.0,7
28985,5237.0,15391.0,7
28992,582.0,15382.0,7
29147,16648.0,4785.0,7
29298,9812.0,4323.0,7
29308,4300.0,13088.0,7
29341,4000.0,19395.0,7
29452,2884.0,13823.0,7
29512,29209.0,11646.0,7
29602,5173.0,1920.0,7
29867,7913.0,5101.0,7
29974,15706.0,2884.0,7
30085,14132.0,1116.0,7
30165,670.0,2193.0,7
30225,9638.0,6911.0,7
30415,5740.0,3788.0,7
30418,28924.0,7276.0,7
30427,14097.0,2825.0,7
30433,9511.0,2739.0,7
30530,1873.0,853.0,7
30592,10461.0,15302.0,7
30666,22463.0,16053.0,7
30689,22462.0,3820.0,7
30827,2029.0,3788.0,7
31079,3116.0,4559.0,7
31189,14720.0,853.0,7
31267,8271.0,4235.0,7
31328,1322.0,2118.0,7
31354,16730.0,4294.0,7
31451,9930.0,3272.0,7
31497,12032.0,582.0,7
31555,13908.0,4785.0,7
31709,2884.0,14132.0,7
31752,5015.0,8729.0,7
31764,5015.0,11684.0,7
31786,3467.0,1444.0,7
31837,22503.0,29107.0,7
31927,7189.0,1116.0,7
31991,2616.0,2349.0,7
32016,3717.0,4000.0,7
32089,4300.0,9259.0,7
32159,6726.0,12483.0,7
32163,7167.0,16712.0,7
32245,2193.0,10838.0,7
32256,22790.0,7596.0,7
32300,6090.0,5101.0,7
32315,2814.0,15391.0,7
32397,14097.0,16638.0,7
32404,2586.0,4444.0,7
32772,2805.0,5066.0,7
32876,9812.0,2008.0,7
32915,5779.0,5017.0,7
33019,16053.0,1619.0,7
33038,3116.0,1193.0,7
33176,4802.0,15095.0,7
33264,881.0,16683.0,7
33321,23166.0,4219.0,7
33365,1930.0,20033.0,7
33554,329.0,1015.0,7
33697,4059.0,2077.0,7
33708,13823.0,1116.0,7
33759,4632.0,7608.0,7
34208,10169.0,5574.0,7
34267,4444.0,9150.0,7
34345,11159.0,10557.0,7
34346,5015.0,10340.0,7
34417,1698.0,14235.0,7
34468,14628.0,18581.0,7
34697,3511.0,25972.0,7
34713,14194.0,8632.0,7
34767,9381.0,1698.0,7
34949,5315.0,11419.0,7
34976,1444.0,9511.0,7
35191,4970.0,29564.0,7
35249,19193.0,16053.0,7
35462,22797.0,5101.0,7
35485,7193.0,6924.0,7
35619,19183.0,21652.0,7
35811,11159.0,13430.0,7
35868,4127.0,1920.0,7
35985,1920.0,1531.0,7
36057,6383.0,6721.0,7
36078,11614.0,2805.0,7
36108,6431.0,1698.0,7
36138,10396.0,3044.0,7
36155,3511.0,16629.0,7
36340,19635.0,10564.0,7
36372,2077.0,2118.0,7
36431,5315.0,10780.0,7
36504,1322.0,21585.0,7
36544,9765.0,20155.0,7
36763,4508.0,12611.0,7
36887,1215.0,2005.0,7
37048,16730.0,2231.0,7
37183,6366.0,3086.0,7
37326,5305.0,1352.0,7
37329,14097.0,3494.0,7
37361,4632.0,1105.0,7
37739,2005.0,98.0,7
37899,4333.0,3626.0,7
38029,5270.0,5771.0,7
38523,14518.0,4333.0,6
38654,7826.0,6734.0,6
38676,8718.0,2814.0,6
38692,2360.0,8954.0,6
38701,9253.0,15989.0,6
38878,12137.0,7102.0,6
39380,17190.0,14256.0,6
39410,3116.0,5434.0,6
39455,1930.0,11802.0,6
39463,3576.0,8621.0,6
39514,5574.0,2825.0,6
39529,881.0,2373.0,6
39720,18639.0,1777.0,6
39753,7505.0,5774.0,6
39820,18584.0,4333.0,6
39837,1576.0,20878.0,6
39915,18598.0,4000.0,6
40010,7911.0,3788.0,6
40175,7102.0,2264.0,6
40220,3116.0,58.0,6
40383,6700.0,7075.0,6
40837,23092.0,3116.0,6
41145,6221.0,853.0,6
41309,26.0,20007.0,6
41320,853.0,1814.0,6
41448,6726.0,8357.0,6
41486,6345.0,4219.0,6
41512,5315.0,15965.0,6
41542,3375.0,10564.0,6
41816,10996.0,13424.0,6
41940,2805.0,24937.0,6
42059,6734.0,13066.0,6
42299,18944.0,10448.0,6
42441,8312.0,5774.0,6
42582,7189.0,9469.0,6
42636,5489.0,3514.0,6
42672,7276.0,6221.0,6
42690,3070.0,6522.0,6
42813,11159.0,10868.0,6
43021,22635.0,17683.0,6
43029,11272.0,4616.0,6
43042,11084.0,5017.0,6
43056,27909.0,801.0,6
43191,6890.0,1920.0,6
43248,9253.0,22761.0,6
43281,22047.0,2264.0,6
43353,12225.0,12604.0,6
43556,1873.0,4283.0,6
43603,2349.0,12682.0,6
43784,13396.0,6845.0,6
43895,16288.0,4333.0,6
44173,9996.0,6845.0,6
44300,16044.0,6107.0,6
44378,1930.0,6427.0,6
44405,10895.0,1949.0,6
44426,6378.0,7075.0,6
44604,3116.0,256.0,6
44748,2005.0,5823.0,6
44784,12523.0,7596.0,6
44829,3467.0,1698.0,6
44849,2077.0,6349.0,6
44895,23676.0,17190.0,6
44903,5909.0,2264.0,6
45045,10895.0,3446.0,6
45326,19763.0,4970.0,6
45601,5233.0,7853.0,6
45796,6112.0,2193.0,6
45963,6726.0,8791.0,6
46002,1920.0,7132.0,6
46132,22970.0,7467.0,6
46264,1930.0,9253.0,6
46280,5416.0,10386.0,6
46400,582.0,14517.0,6
46452,6447.0,5574.0,6
46667,8150.0,19705.0,6
46682,1873.0,7877.0,6
46765,13844.0,10895.0,6
46840,582.0,24342.0,6
46870,3788.0,13846.0,6
46950,2884.0,12862.0,6
47309,2787.0,5967.0,6
47623,6567.0,19499.0,6
47831,24113.0,12280.0,6
48031,6366.0,10409.0,6
48208,1015.0,14650.0,6
48222,19505.0,3637.0,6
48304,24044.0,14027.0,6
48644,4161.0,3375.0,6
48672,11990.0,18944.0,6
48702,5968.0,801.0,6
49032,11458.0,3637.0,6
49034,9812.0,29365.0,6
49125,13325.0,4785.0,6
49257,4169.0,3701.0,6
49284,7826.0,13103.0,6
49303,21955.0,1698.0,6
49368,4333.0,7416.0,6
49397,9078.0,788.0,6
49692,2005.0,10914.0,6
49712,6366.0,2147.0,6
49789,13463.0,8076.0,6
50103,6716.0,13066.0,6
50150,2426.0,2487.0,6
50453,12176.0,3070.0,6
50478,13325.0,5434.0,6
50543,2090.0,12682.0,6
50705,751.0,5771.0,6
50846,6376.0,801.0,6
51015,1322.0,9614.0,6
51148,6345.0,10017.0,6
51189,1384.0,2426.0,6
51281,10386.0,12483.0,6
51295,7911.0,13846.0,6
51352,1920.0,1774.0,6
51499,582.0,930.0,6
51940,11110.0,21105.0,6
51971,12588.0,8729.0,6
52311,11990.0,6721.0,6
52412,10868.0,5101.0,6
52414,13588.0,6090.0,6
52422,12862.0,1116.0,6
52478,9528.0,4235.0,6
52507,6716.0,7826.0,6
52575,3892.0,4763.0,6
52578,3873.0,801.0,6
52683,9623.0,10017.0,6
53014,2814.0,14393.0,6
53023,881.0,21958.0,6
53135,23758.0,5315.0,6
53142,12296.0,4744.0,6
53166,12347.0,4219.0,6
53397,17802.0,1384.0,6
53565,11167.0,20984.0,6
53642,29107.0,17728.0,6
53821,17924.0,3820.0,6
53827,5489.0,5461.0,6
53940,29059.0,3604.0,6
54000,29533.0,2814.0,6
54001,582.0,13544.0,6
54173,12496.0,853.0,6
54274,1475.0,582.0,6
54411,5017.0,4225.0,6
54436,6366.0,9201.0,6
54705,10602.0,11394.0,6
54760,4291.0,13648.0,6
54887,29573.0,12104.0,6
54916,14507.0,29107.0,6
55058,22463.0,1619.0,6
55119,1384.0,16807.0,6
55149,5504.0,4511.0,6
55176,4632.0,6928.0,6
55195,1384.0,16437.0,6
55267,972.0,2005.0,6
55280,23203.0,10564.0,6
55373,3467.0,1352.0,6
55572,23863.0,10621.0,6
56087,22457.0,4235.0,5
56248,10340.0,8729.0,5
56342,16131.0,7184.0,5
56417,23619.0,6721.0,5
56618,1742.0,14518.0,5
56939,8246.0,7193.0,5
56959,3058.0,2090.0,5
56983,12425.0,2193.0,5
56990,23721.0,1920.0,5
57016,4219.0,8621.0,5
57059,29475.0,5953.0,5
57151,29499.0,4219.0,5
57505,10472.0,3534.0,5
57508,29076.0,1352.0,5
57645,3511.0,9253.0,5
57647,18944.0,6721.0,5
57669,14097.0,2739.0,5
57802,12588.0,5015.0,5
57816,12588.0,10340.0,5
57843,2481.0,19103.0,5
57889,17202.0,8818.0,5
57930,9534.0,7596.0,5
58064,881.0,16526.0,5
58221,4444.0,3086.0,5
58270,2092.0,1956.0,5
58339,5315.0,28622.0,5
58453,4300.0,20097.0,5
58647,17202.0,18328.0,5
58691,5237.0,26665.0,5
58704,1015.0,1784.0,5
58761,23203.0,3375.0,5
58800,21106.0,13325.0,5
58912,11930.0,2884.0,5
58946,853.0,14213.0,5
59013,2616.0,8729.0,5
59027,12673.0,3116.0,5
59088,5305.0,2867.0,5
59109,1015.0,4822.0,5
59214,4308.0,3311.0,5
59247,21195.0,8076.0,5
59304,6167.0,10180.0,5
59420,5315.0,10169.0,5
59518,6383.0,11990.0,5
59661,4059.0,2426.0,5
59999,12498.0,1116.0,5
60041,6167.0,24878.0,5
60071,19193.0,1619.0,5
60083,3604.0,6204.0,5
60092,3272.0,7497.0,5
60113,1930.0,22761.0,5
60423,6221.0,23694.0,5
60462,4632.0,3717.0,5
60699,2787.0,4333.0,5
60720,28579.0,3788.0,5
60744,11615.0,18327.0,5
60757,2373.0,853.0,5
60878,4283.0,2090.0,5
60958,17768.0,25318.0,5
61006,10180.0,6427.0,5
61176,1930.0,10605.0,5
61372,3788.0,10147.0,5
61380,1930.0,21151.0,5
61384,22371.0,2426.0,5
61518,9996.0,24647.0,5
61622,2106.0,2805.0,5
61639,10038.0,18581.0,5
61731,5341.0,7380.0,5
61789,1873.0,18869.0,5
61874,3070.0,11790.0,5
61888,7663.0,6148.0,5
61991,14322.0,4241.0,5
62002,853.0,26756.0,5
62159,5083.0,853.0,5
62203,15655.0,2884.0,5
62340,28869.0,3070.0,5
62350,21099.0,2426.0,5
62479,10271.0,4235.0,5
62579,1576.0,13986.0,5
62585,9638.0,13424.0,5
62789,21105.0,26295.0,5
62923,23903.0,801.0,5
62932,11230.0,6221.0,5
63056,10017.0,5131.0,5
63083,21106.0,4785.0,5
63308,15485.0,801.0,5
63315,9664.0,18581.0,5
63360,8442.0,1698.0,5
63524,9533.0,6167.0,5
64117,28293.0,2814.0,5
64161,4508.0,2029.0,5
64204,17229.0,4511.0,5
64270,3511.0,27601.0,5
64322,6339.0,582.0,5
64388,18581.0,5196.0,5
64441,7422.0,1920.0,5
64563,2349.0,25160.0,5
64644,8464.0,3147.0,5
64718,1930.0,16663.0,5
64751,3272.0,14382.0,5
64856,4480.0,23322.0,5
64890,12487.0,11159.0,5
64987,2814.0,17251.0,5
64993,4308.0,9.0,5
65038,9111.0,14621.0,5
65278,7681.0,26998.0,5
65358,4000.0,3207.0,5
65612,1670.0,7826.0,5
65638,17046.0,1322.0,5
65844,2928.0,4291.0,5
66188,2193.0,6351.0,5
66194,3604.0,1698.0,5
66246,11387.0,11394.0,5
66259,6427.0,22323.0,5
66322,5727.0,1322.0,5
66536,582.0,1119.0,5
66647,9924.0,2739.0,5
66794,4154.0,3788.0,5
66859,1873.0,13481.0,5
66934,5944.0,6167.0,5
67241,14727.0,801.0,5
67401,4632.0,1331.0,5
67635,10920.0,3092.0,5
67670,3511.0,25750.0,5
67694,9485.0,14322.0,5
67759,20538.0,5771.0,5
67804,14664.0,2426.0,5
67835,29547.0,7348.0,5
67915,6107.0,1698.0,5
67946,1930.0,21013.0,5
67969,10253.0,1777.0,5
68054,11159.0,23321.0,5
68102,19612.0,11646.0,5
68191,19705.0,4225.0,5
68242,7288.0,1698.0,5
68506,3788.0,9314.0,5
68516,3788.0,14610.0,5
68530,15655.0,1116.0,5
68737,12237.0,21039.0,5
68785,17229.0,6567.0,5
68789,14027.0,22933.0,5
69112,2077.0,22989.0,5
69152,7838.0,2825.0,5
69247,10472.0,5017.0,5
69295,1015.0,69.0,5
69356,4367.0,5771.0,5
69369,9151.0,2193.0,5
69383,6721.0,10448.0,5
69385,2092.0,19754.0,5
69429,1015.0,327.0,5
69478,11110.0,29099.0,5
69932,21105.0,29099.0,5
70037,22764.0,7467.0,5
70197,6700.0,6734.0,5
70237,1015.0,1675.0,5
70281,3815.0,2426.0,5
70304,13215.0,26650.0,5
70305,14267.0,4323.0,5
70495,20743.0,801.0,5
70640,6700.0,6716.0,5
70785,1930.0,15989.0,5
70808,28552.0,6152.0,5
70818,18110.0,7681.0,5
70853,1618.0,7596.0,5
70930,19705.0,3375.0,5
71047,4444.0,16063.0,5
71177,9253.0,21013.0,5
71326,9297.0,24979.0,5
71675,5233.0,12675.0,5
71922,1670.0,17403.0,5
71944,1384.0,3147.0,5
72007,3116.0,19183.0,5
72354,4291.0,4911.0,5
72484,7276.0,10637.0,5
72489,20717.0,21199.0,5
72501,10472.0,8150.0,5
72546,1015.0,1244.0,5
72573,7380.0,3701.0,5
73048,881.0,3058.0,5
73062,9638.0,13987.0,5
73102,1873.0,1352.0,5
73278,2092.0,15485.0,5
73548,15985.0,6845.0,5
73663,9949.0,8954.0,5
73762,4169.0,7380.0,5
73798,5237.0,10335.0,5
74028,15091.0,4444.0,5
74299,2551.0,4616.0,5
74366,12673.0,4785.0,5
74407,21172.0,20155.0,5
74471,11110.0,27869.0,5
74719,29564.0,10017.0,5
74755,1322.0,2193.0,5
74766,1034.0,3147.0,5
75010,3604.0,12574.0,5
75387,7214.0,2090.0,5
75434,1322.0,2077.0,5
75495,22635.0,3207.0,5
75521,12588.0,11684.0,5
75674,6383.0,5920.0,5
75994,23623.0,3576.0,5
76650,3147.0,3805.0,5
76673,18218.0,6383.0,5
76798,1920.0,58.0,5
76857,2867.0,15992.0,5
76862,14048.0,13396.0,5
76871,4000.0,11747.0,5
77013,582.0,23542.0,5
77037,21151.0,9253.0,5
77145,4400.0,8729.0,5
77378,12145.0,10368.0,5
77409,5315.0,16618.0,5
77707,13908.0,13325.0,5
77770,8729.0,11684.0,5
77802,2586.0,8974.0,5
77848,10134.0,10017.0,5
77869,27869.0,21105.0,5
77896,13430.0,23321.0,5
78164,1745.0,1352.0,5
78189,3116.0,13908.0,5
78318,42.0,582.0,5
78887,10488.0,1920.0,5
79105,12779.0,2349.0,5
79130,5315.0,2825.0,5
79317,11394.0,1619.0,5
79605,10192.0,582.0,5
79843,2586.0,3788.0,5
79979,19635.0,3375.0,5
80316,7838.0,10169.0,5
80357,5233.0,9812.0,5
80550,582.0,4900.0,5
80684,2005.0,7467.0,5
80747,3070.0,6412.0,5
80808,3116.0,8980.0,5
80843,6107.0,4308.0,5
80929,6152.0,2360.0,5
81052,14393.0,1352.0,5
81284,5083.0,2092.0,5
81415,4511.0,2360.0,5
81481,582.0,8324.0,5
81595,13660.0,4235.0,5
81609,20800.0,9240.0,5
81888,5233.0,5127.0,5
81918,24930.0,6148.0,5
82010,20405.0,18161.0,5
82030,2814.0,6187.0,5
82261,3717.0,3788.0,5
82390,10184.0,2884.0,5
82534,7467.0,9341.0,5
82773,4161.0,1814.0,5
82776,11084.0,5779.0,5
82789,9944.0,2005.0,5
82987,12265.0,4616.0,5
83020,1949.0,16831.0,5
83070,6167.0,6427.0,5
83271,6726.0,11458.0,5
83859,11394.0,801.0,5
83942,9533.0,6427.0,5
83946,5953.0,9511.0,5
83987,14213.0,2592.0,5
84041,5963.0,6152.0,5
84047,15639.0,2404.0,5
84336,7193.0,5823.0,5
84453,9253.0,16663.0,5
84486,2884.0,25718.0,5
84568,7838.0,5574.0,5
84569,4219.0,5131.0,5
84691,23863.0,5574.0,5
84710,10386.0,8791.0,5
84715,20654.0,10564.0,5
84837,4333.0,5446.0,5
84846,13986.0,21721.0,5
84852,6398.0,16712.0,5
